first_cmt,forum_links,last_posts,posts,stock_names
"Lama menyepi tanpa berita,hari ini buat kejutan kaunter yang sepi.volume datan...",/servlets/forum/800001687.jsp?fp=2,"Mar 20, 07:39 PM",693,Stock: [EMICO]: EMICO HOLDINGS BHD
"Hanoi, you no like Musang King. The whole China likes MK",/servlets/forum/800001667.jsp?fp=2,"Mar 20, 07:33 PM","25,664",Stock: [EKOVEST]: EKOVEST BHD
your mouth so masin,/servlets/forum/800000692.jsp?fp=2,"Mar 20, 07:30 PM","40,968",Stock: [DNEX]: DAGANG NEXCHANGE BHD
"hope tomorrow,",/servlets/forum/800000090.jsp?fp=2,"Mar 20, 07:29 PM","1,643",Stock: [GDEX]: GD EXPRESS CARRIER BHD
up up up....,/servlets/forum/800001636.jsp?fp=2,"Mar 20, 07:24 PM","1,159",Stock: [FIHB]: FEDERAL FURNITURE HOLDINGS M BHD
steady.  it is coming...,/servlets/forum/800002992.jsp?fp=2,"Mar 20, 07:22 PM","2,002",Stock: [MATRIX]: MATRIX CONCEPTS HOLDINGS BHD
"Stingray(  100% Candlestick,simple,fast,high accuratecy  No Trendline, UpDown,...",/servlets/forum/800000829.jsp?fp=2,"Mar 20, 07:19 PM","2,810",Stock: [NAIM]: NAIM HOLDINGS BHD
Totally agreed Doomstock. *do your research.,/servlets/forum/800001362.jsp?fp=2,"Mar 20, 07:14 PM","10,146",Stock: [PWORTH]: PRICEWORTH INTERNATIONAL BHD
No final dividend????,/servlets/forum/800006951.jsp?fp=2,"Mar 20, 06:52 PM",99,Stock: [TRIMODE]: TRI-MODE SYSTEM (M) BHD
Leempeh  Calvin Tan pl clear this up. I understand there’s another fake Calvin...,/servlets/forum/800001470.jsp?fp=2,"Mar 20, 06:49 PM","4,444",Stock: [DESTINI]: DESTINI BHD
Regardless of what happen or what the outlook is for the industry I truly beli...,/servlets/forum/800001242.jsp?fp=2,"Mar 20, 06:47 PM","4,395",Stock: [GTRONIC]: GLOBETRONICS TECHNOLOGY BHD
Sudah goreng kah? 20¢ coming,/servlets/forum/800001432.jsp?fp=2,"Mar 20, 06:47 PM","1,353",Stock: [IRETEX]: IRE-TEX CORP BHD
TQVM     power,/servlets/forum/800001111.jsp?fp=2,"Mar 20, 06:39 PM","2,478",Stock: [BPURI]: BINA PURI HOLDINGS BHD
Kasi rotan :p,/servlets/forum/800005130.jsp?fp=2,"Mar 20, 06:38 PM",559,Stock: [DANCO]: DANCOMECH HOLDINGS BHD
Uptrend,/servlets/forum/800001665.jsp?fp=2,"Mar 20, 06:28 PM","14,520",Stock: [PMETAL]: PRESS METAL ALUMINIUM HOLDINGS BHD
Bought a bit....back to 40 cents enough for Nasi Lemak....,/servlets/forum/800001132.jsp?fp=2,"Mar 20, 06:28 PM",704,Stock: [PCCS]: PCCS GROUP BHD
"Calvintaneng, thank you for your explanation.  God bless you!",/servlets/forum/800000452.jsp?fp=2,"Mar 20, 06:28 PM","2,789",Stock: [TALAMT]: TALAM TRANSFORM BHD
every quarter EPS 2 sen. should be able to sustain at current price.,/servlets/forum/800000573.jsp?fp=2,"Mar 20, 06:22 PM","1,638",Stock: [DBHD]: DAMANSARA REALTY BHD
epf everyday dumping but the price still steady.   why? because foreign funds ...,#,"Mar 20, 06:19 PM",852,
epf everyday dumping but the price still steady.   why? because foreign funds ...,/servlets/forum/800001115.jsp?fp=3,"Mar 20, 06:19 PM",852,Stock: [MBMR]: MBM RESOURCES BHD
"If it can sustain 3.30 is ok, I afraid it may go down to 3.00",/servlets/forum/800000495.jsp?fp=3,"Mar 20, 06:18 PM","3,964",Stock: [CMSB]: CAHYA MATA SARAWAK BHD
"2 days ago,  bad news...",/servlets/forum/800001001.jsp?fp=3,"Mar 20, 06:17 PM","2,001",Stock: [MHB]: MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD
F&N 3689 INFORMATION OVERVIEW 1 https://yiniugongxiong.blogspot.com/2019/0...,/servlets/forum/800000590.jsp?fp=3,"Mar 20, 06:15 PM",269,Stock: [F&N]: FRASER & NEAVE HOLDINGS BHD
time to average down and wait for miracles.  |Because they do happen once in a...,/servlets/forum/800000057.jsp?fp=3,"Mar 20, 06:08 PM","4,390",Stock: [CUSCAPI]: CUSCAPI BHD
some other agency has been offering rehiring services! looks like it will kick...,/servlets/forum/800000158.jsp?fp=3,"Mar 20, 06:05 PM","37,271",Stock: [MYEG]: MY E.G.SERVICES BHD
wait long long for round 2. Show finish.,/servlets/forum/800001538.jsp?fp=3,"Mar 20, 05:54 PM",954,Stock: [EDEN]: EDEN INC BHD
Haiz...drop again,/servlets/forum/800000952.jsp?fp=3,"Mar 20, 05:50 PM","7,776",Stock: [XDL]: XIDELANG HOLDINGS LTD
stock must have potential growth only price will go up.banker stock will go up...,/servlets/forum/800000331.jsp?fp=3,"Mar 20, 05:50 PM","17,486",Stock: [MBSB]: MALAYSIA BUILDING SOCIETY BHD
hopefully,/servlets/forum/800001698.jsp?fp=3,"Mar 20, 05:48 PM","35,535",Stock: [GADANG]: GADANG HOLDINGS BHD
Strong closing price tomorrow 1.20 and above : ),/servlets/forum/800005179.jsp?fp=3,"Mar 20, 05:46 PM","3,200",Stock: [HSSEB]: HSS ENGINEERS BHD
because he iS I3 number 2 Holland master after kyy,/servlets/forum/800001489.jsp?fp=3,"Mar 20, 05:45 PM","7,110",Stock: [T7GLOBAL]: T7 GLOBAL BHD
0.15 is good to collect,/servlets/forum/800001723.jsp?fp=3,"Mar 20, 05:42 PM","3,160",Stock: [BRAHIMS]: BRAHIM'S HOLDINGS BHD
Big buying volume at 0.095 recently...not waiting for 0.09 and rather buy high...,/servlets/forum/800000982.jsp?fp=3,"Mar 20, 05:40 PM","1,308",Stock: [DYNACIA]: TATT GIAP GROUP BHD
"Aiya hesitate to sell at 27/27.5, thinking it will break 30c. Now no choice bu...",/servlets/forum/800001572.jsp?fp=3,"Mar 20, 05:33 PM",561,Stock: [THRIVEN]: THRIVEN GLOBAL BHD
patient required,/servlets/forum/800000170.jsp?fp=3,"Mar 20, 05:28 PM","18,068",Stock: [FINTEC]: FINTEC GLOBAL BERHAD
tomoro can fly high high?,/servlets/forum/800001388.jsp?fp=3,"Mar 20, 05:28 PM",939,Stock: [JAYCORP]: JAYCORP BHD
Borrowings burden  The group expects to turn itself around this year. Among ot...,/servlets/forum/800003588.jsp?fp=3,"Mar 20, 05:20 PM","2,209",Stock: [BPLANT]: BOUSTEAD PLANTATIONS BHD
